event_index,longitude,latitude,magnitude,time,x_km,y_km,z_km
1,130.6525781322926,30.47115066930517,1.2914968193301615,2019-01-01T00:00:00.0,14.651660778960002,-3.1883589399277157,13.878939105491883
2,130.53722845061836,30.414809505834302,1.509931506404852,2019-01-01T00:00:00.0,3.5770038863902425,-9.44364678000035,15.817013330694445
3,130.78295404074174,30.959982683954188,0.2751342076915666,2019-01-01T00:00:00.0,27.035040673297026,51.03029066434653,12.263870099746022
4,130.95339068009662,30.132049935301527,0.8719885552283979,2019-01-01T00:00:00.0,43.68845020024793,-40.70301585334694,2.0124320191529854
5,130.36662523833184,30.052263996423743,1.2199019887119196,2019-01-01T00:00:00.0,-12.86228281754758,-49.627423889802685,5.501868326279224
6,130.94950996410594,30.283256743095247,0.21163172613516767,2019-01-01T00:00:00.0,43.24804906304393,-23.942156575646415,5.597786625278369
7,130.68135971093227,30.195836303820865,1.19215432287972,2019-01-01T00:00:00.0,17.464389742632513,-33.70519231640409,7.7287704863145334
8,130.85445619344782,30.023468379852385,1.0638343887322028,2019-01-01T00:00:00.0,34.19272439076716,-52.77380491973366,17.446162850629193
9,130.99348078245777,30.150004768990193,1.4018777956987778,2019-01-01T00:00:00.0,47.542864436151994,-38.69649491019742,17.97100237014908
10,130.18093992624244,30.91843931510233,1.2781466153538508,2019-01-01T00:00:00.0,-30.497922925052286,46.433628897911795,13.939698493527546
11,130.04246430127344,30.170637070402393,0.06464044651701673,2019-01-01T00:00:00.0,-44.07061504307637,-36.42378067499814,15.769697936930987
12,130.48825535795865,30.626439600025293,1.0489081824072475,2019-01-01T00:00:00.0,-1.126013355463723,14.017409854424889,8.084076056387087
13,130.22928067440583,30.18179845876562,1.5616483679508228,2019-01-01T00:00:00.0,-26.07317047709547,-35.24422758898299,15.878267510985717
14,130.42515256573975,30.725764855782145,1.409092704234413,2019-01-01T00:00:00.0,-7.168651307056331,25.031348822868065,1.690000326323533
15,130.05928622737707,30.184342460892015,0.9295129235112143,2019-01-01T00:00:00.0,-42.44439158869244,-34.91086121905787,12.542149813202721
16,130.3051926562001,30.023856853933644,1.459301018956385,2019-01-01T00:00:00.0,-18.792065701476517,-52.767942074231286,9.611144153175658
17,130.8609332243016,30.202742990645252,0.9459673082235931,2019-01-01T00:00:00.0,34.75435744456542,-32.89819174056658,17.0579392406595
18,130.84312991809335,30.778432500398374,0.38650266396730726,2019-01-01T00:00:00.0,32.8461087204167,30.918126554013785,17.79993028783121
19,130.93660702010067,30.076112984562933,0.9745362791586323,2019-01-01T00:00:00.0,42.0950251571439,-46.91029747479599,0.6904373947622808
20,130.15120238613798,30.095683658113277,1.7035241939389618,2019-01-01T00:00:00.0,-33.62229359142474,-44.77004481601549,17.17225383496628
21,130.6644087320421,30.844485364044647,1.6685897346402059,2019-01-01T00:00:00.0,15.72730211075534,38.202599115275305,13.686395560424852
22,130.32199676435016,30.4636877695011,0.7416278877199554,2019-01-01T00:00:00.0,-17.094468682211737,-4.012125928410567,2.722760827322503
23,130.20083797780583,30.15291035769443,0.26678586281701966,2019-01-01T00:00:00.0,-28.82095439244867,-38.43977613924047,9.840228999248088
24,130.12697648580436,30.371688014737156,0.4453611531382755,2019-01-01T00:00:00.0,-35.85684500060196,-14.165520676228034,17.401879691163476
25,130.0752388017057,30.00263829132217,0.7823109996510504,2019-01-01T00:00:00.0,-40.9833575697457,-55.05968362588927,17.718286268140996
26,130.31060376060486,30.552136292385136,0.9251469522652482,2019-01-01T00:00:00.0,-18.172138861937896,5.795156046885831,1.9229766395250074
27,130.75300700391227,30.650113973374268,1.8225074615601577,2019-01-01T00:00:00.0,24.251070633126343,16.66920951398411,13.411180740213453
28,130.76738630307744,30.922559485460337,1.3110039847996753,2019-01-01T00:00:00.0,25.55750086269014,46.87752184405096,16.49983042589782
29,130.84723294080317,30.254234117983184,0.5305409944328345,2019-01-01T00:00:00.0,33.417664497862454,-27.19415090576219,10.786385174594662
30,130.17185462505313,30.905456092656504,0.5076826309189251,2019-01-01T00:00:00.0,-31.370568294916893,44.99668933966351,3.3016367160588462
31,130.7089537539556,30.823237675219108,1.359075515989983,2019-01-01T00:00:00.0,19.992852551772906,35.85400067204784,1.6056255175322
32,130.14625775715737,30.738657008104624,0.4005412140827096,2019-01-01T00:00:00.0,-33.87584593514104,26.51152032727978,5.2848380763128855
33,130.54056637835384,30.108967636138225,0.7471281302554718,2019-01-01T00:00:00.0,3.909861030729866,-43.348375251557876,8.823441812335592
34,130.06694519812078,30.740735168410996,1.095422919380245,2019-01-01T00:00:00.0,-41.47027822386822,26.768479327005025,19.052940161945838
35,130.98102442193326,30.817974825909204,1.4014737869788891,2019-01-01T00:00:00.0,46.027326047289584,35.350455626143074,15.157142285128032
36,130.76935133917567,30.82070434053173,0.46336851698206916,2019-01-01T00:00:00.0,25.772416551290082,35.585437433762976,11.890446869688356
37,130.19027811287822,30.80718175527737,0.551462296032807,2019-01-01T00:00:00.0,-29.63933883105011,34.096179476179266,18.22515282894105
38,130.5923120279974,30.990035080537307,0.1832926310638705,2019-01-01T00:00:00.0,8.817269639748027,54.33174686057585,18.956111018828636
39,130.93931496311657,30.64029941676646,1.4249649681061207,2019-01-01T00:00:00.0,42.1132205706184,15.636010176915871,2.9729493973785743
40,130.33801570341475,30.954998875887895,1.2614460907204355,2019-01-01T00:00:00.0,-15.477695884808528,50.454800486107686,18.16499827187395
41,130.9963978147374,30.56939892874614,1.6904525072809105,2019-01-01T00:00:00.0,47.619878053565266,7.798475793383535,7.236617101147223
42,130.53041846115306,30.124656509861833,0.18498790813608013,2019-01-01T00:00:00.0,2.931320402426695,-41.60948069858535,16.214006657003484
43,130.55747449656013,30.98833226430403,0.959419754609355,2019-01-01T00:00:00.0,5.489826916996951,54.140729833478204,14.291412923320516
44,130.17775251992452,30.65859458994728,1.4777082012737353,2019-01-01T00:00:00.0,-30.88518300238057,17.626351444943143,5.356304047069909
45,130.49920188427464,30.882512423887007,0.57624953714789,2019-01-01T00:00:00.0,-0.07631759094735978,42.40708146522758,15.120733036404278
46,130.44623727045402,30.549661796218125,0.6979758473753086,2019-01-01T00:00:00.0,-5.158541503525608,5.506802605124473,11.929844477590512
47,130.52908609910557,30.18823370998901,0.45495699866499795,2019-01-01T00:00:00.0,2.8011186833109085,-34.561595207471626,14.914254504683074
48,130.73225561199556,30.68122143293065,1.4304678195979386,2019-01-01T00:00:00.0,22.25490708960581,20.113624572538463,3.935872680980113
49,130.07031975407304,30.409437427889312,0.849760978655576,2019-01-01T00:00:00.0,-41.287075563081075,-9.96131323378517,16.768558334074193
50,130.7955915930883,30.541610400743085,1.9219672025942796,2019-01-01T00:00:00.0,28.364407905946376,4.650139760032775,0.6096949490346688
51,130.8673394062665,30.35042195152739,0.11361532972230592,2019-01-01T00:00:00.0,35.3181154623128,-16.524843010802794,12.572459342874044
52,130.21881223660318,30.455829408660883,0.15746979407608253,2019-01-01T00:00:00.0,-27.005929234633836,-4.863164127309884,3.261506045737475
53,130.95045130747357,30.16199329825665,1.4396333625954456,2019-01-01T00:00:00.0,43.392037379103606,-37.384730700565285,11.633335044279784
54,130.11028523157506,30.84685954381928,0.28828277777696343,2019-01-01T00:00:00.0,-37.27913958162775,38.51898644519761,8.979461651863582
55,130.10248079596266,30.8296556968873,0.26892611974537184,2019-01-01T00:00:00.0,-38.032443783179154,36.61424767916697,17.5408599121641
56,130.43874843469723,30.852183508474976,1.3402754380411515,2019-01-01T00:00:00.0,-5.858844637841074,39.04616298528236,10.460735759417334
57,130.97546573317214,30.103497897883507,0.852910476895504,2019-01-01T00:00:00.0,45.82885022897028,-43.85948032933497,15.987396569442229
58,130.60198892186705,30.711819303821777,1.0605411753963823,2019-01-01T00:00:00.0,9.769579012457108,23.487317112937124,11.490456848733821
59,130.15725013353713,30.697555337570137,1.5322085129993588,2019-01-01T00:00:00.0,-32.83704802892602,21.951514210985728,16.456325186404346
60,130.77076455938374,30.195172185600025,0.6207596680696656,2019-01-01T00:00:00.0,26.073987457853814,-33.761651467279655,11.902286253988855
