station_id,phase_time,phase_score,phase_type,event_index
NC.01,2019-01-01T00:00:02.902,0.8312065925938854,P,1
NC.01,2019-01-01T00:00:04.969,0.9252843527254606,S,1
NC.02,2019-01-01T00:00:06.215,0.6392944025977226,P,1
NC.02,2019-01-01T00:00:10.648,0.9449583127546698,S,1
NC.03,2019-01-01T00:00:09.384,0.6305317716681831,P,1
NC.03,2019-01-01T00:00:16.071,0.5421061979566052,S,1
NC.04,2019-01-01T00:00:04.383,0.771210848195359,P,1
NC.04,2019-01-01T00:00:07.511,0.6664124339907448,S,1
NC.05,2019-01-01T00:00:08.951,0.7330083330797885,P,1
NC.05,2019-01-01T00:00:15.335,0.5929698204640408,S,1
NC.06,2019-01-01T00:00:07.396,0.6966668193896923,P,1
NC.06,2019-01-01T00:00:12.665,0.7618562816695323,S,1
NC.07,2019-01-01T00:00:07.132,0.9981842502480816,P,1
NC.07,2019-01-01T00:00:12.21,0.6313597670564131,S,1
NC.08,2019-01-01T00:00:10.463,0.5542937374286374,P,1
NC.08,2019-01-01T00:00:17.924,0.8284950793949554,S,1
NC.09,2019-01-01T00:00:08.86,0.8971171230372141,P,1
NC.09,2019-01-01T00:00:15.176,0.8458019247358786,S,1
NC.10,2019-01-01T00:00:05.15,0.8512108187335994,P,1
NC.10,2019-01-01T00:00:08.828,0.6660860301838849,S,1
NC.11,2019-01-01T00:00:10.671,0.5078192070046269,P,1
NC.11,2019-01-01T00:00:18.283,0.6683398036607514,S,1
NC.12,2019-01-01T00:00:09.362,0.7434369897524358,P,1
NC.12,2019-01-01T00:00:16.037,0.8980598577626493,S,1
NC.13,2019-01-01T00:00:10.581,0.8070262006361817,P,1
NC.13,2019-01-01T00:00:18.129,0.9751771083926455,S,1
NC.14,2019-01-01T00:00:09.663,0.8904680489163667,P,1
NC.14,2019-01-01T00:00:16.556,0.5759992486726058,S,1
NC.15,2019-01-01T00:00:04.725,0.5338310764947416,P,1
NC.15,2019-01-01T00:00:08.091,0.9326337800703337,S,1
NC.16,2019-01-01T00:00:09.109,0.8969919362160439,P,1
NC.16,2019-01-01T00:00:15.608,0.785188702423801,S,1
NC.17,2019-01-01T00:00:07.34,0.7211178228704707,P,1
NC.17,2019-01-01T00:00:12.572,0.8811141243454945,S,1
NC.18,2019-01-01T00:00:06.288,0.8867956001221893,P,1
NC.18,2019-01-01T00:00:10.77,0.6992284516201736,S,1
NC.19,2019-01-01T00:00:06.441,0.9364470961137277,P,1
NC.19,2019-01-01T00:00:11.034,0.9799441015001011,S,1
NC.20,2019-01-01T00:00:06.297,0.6602501567677013,P,1
NC.20,2019-01-01T00:00:10.791,0.8589764746353923,S,1
NC.21,2019-01-01T00:00:07.882,0.6187553090771203,P,1
NC.21,2019-01-01T00:00:13.508,0.8982420098858959,S,1
NC.22,2019-01-01T00:00:04.461,0.6242885142257002,P,1
NC.22,2019-01-01T00:00:07.643,0.7655096909316894,S,1
NC.23,2019-01-01T00:00:04.245,0.7706832294478894,P,1
NC.23,2019-01-01T00:00:07.277,0.8429114103570847,S,1
NC.24,2019-01-01T00:00:11.259,0.8819181171564318,P,1
NC.24,2019-01-01T00:00:19.289,0.9405597899510907,S,1
NC.25,2019-01-01T00:00:07.678,0.8433831093430009,P,1
NC.25,2019-01-01T00:00:13.151,0.735592673693948,S,1
NC.26,2019-01-01T00:00:05.434,0.6664048772110771,P,1
NC.26,2019-01-01T00:00:09.315,0.8261751828314275,S,1
NC.27,2019-01-01T00:00:04.097,0.5143029878725394,P,1
NC.27,2019-01-01T00:00:07.014,0.8689435033223206,S,1
NC.28,2019-01-01T00:00:10.63,0.7108180193242251,P,1
NC.28,2019-01-01T00:00:18.204,0.5665278744285703,S,1
NC.29,2019-01-01T00:00:08.212,0.6362880219461776,P,1
NC.29,2019-01-01T00:00:14.081,0.9087339845634658,S,1
NC.30,2019-01-01T00:00:04.14,0.888740078521945,P,1
NC.30,2019-01-01T00:00:07.092,0.8657928063645386,S,1
NC.31,2019-01-01T00:00:06.496,0.9633385088369304,P,1
NC.31,2019-01-01T00:00:11.13,0.7461106440001302,S,1
NC.32,2019-01-01T00:00:11.029,0.9418419738568684,P,1
NC.32,2019-01-01T00:00:18.886,0.6716244403973489,S,1
NC.33,2019-01-01T00:00:06.346,0.6583199770324196,P,1
NC.33,2019-01-01T00:00:10.869,0.6869459654980814,S,1
NC.34,2019-01-01T00:00:06.798,0.5239504036846612,P,1
NC.34,2019-01-01T00:00:11.646,0.5069500897505482,S,1
NC.35,2019-01-01T00:00:08.121,0.6992324273686243,P,1
NC.35,2019-01-01T00:00:13.912,0.9597141939384861,S,1
NC.36,2019-01-01T00:00:10.946,0.7401353596609335,P,1
NC.36,2019-01-01T00:00:18.749,0.6444674032301919,S,1
NC.37,2019-01-01T00:00:04.534,0.7853299118453801,P,1
NC.37,2019-01-01T00:00:07.763,0.8298256319970414,S,1
NC.38,2019-01-01T00:00:04.978,0.748573849235558,P,1
NC.38,2019-01-01T00:00:08.526,0.5371323956154227,S,1
NC.39,2019-01-01T00:00:11.637,0.8525738485097638,P,1
NC.39,2019-01-01T00:00:19.933,0.6118873342245648,S,1
NC.40,2019-01-01T00:00:12.93,0.7987708183600035,P,1
NC.40,2019-01-01T00:00:22.143,0.6748151343558599,S,1
NC.41,2019-01-01T00:00:09.674,0.8886766976805625,P,1
NC.41,2019-01-01T00:00:16.573,0.6519913948762651,S,1
NC.42,2019-01-01T00:00:05.489,0.9397006817498912,P,1
NC.42,2019-01-01T00:00:09.402,0.9680174098887386,S,1
NC.43,2019-01-01T00:00:05.871,0.9931998515768488,P,1
NC.43,2019-01-01T00:00:10.053,0.9241108488298755,S,1
NC.44,2019-01-01T00:00:08.911,0.8285474099031427,P,1
NC.44,2019-01-01T00:00:15.268,0.5875805477500897,S,1
NC.45,2019-01-01T00:00:05.311,0.7284914043451645,P,1
NC.45,2019-01-01T00:00:09.098,0.9011907305497497,S,1
NC.46,2019-01-01T00:00:07.192,0.6989073642758743,P,1
NC.46,2019-01-01T00:00:12.322,0.9143769193055789,S,1
NC.47,2019-01-01T00:00:09.183,0.7706222325523192,P,1
NC.47,2019-01-01T00:00:15.729,0.894602039739369,S,1
NC.48,2019-01-01T00:00:06.304,0.604515022447917,P,1
NC.48,2019-01-01T00:00:10.8,0.9273839526448793,S,1
NC.49,2019-01-01T00:00:08.971,0.6254144761944513,P,1
NC.49,2019-01-01T00:00:15.366,0.5747504454499766,S,1
NC.50,2019-01-01T00:00:10.375,0.7953588072881315,P,1
NC.50,2019-01-01T00:00:17.773,0.7678151848242825,S,1
